
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.40564 * 0.02928 / 0.27982 = 0.04244 (26) (A_count=888)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.01629 = 0.00000 (0) (A_count=20)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm ) = 0.76504 * 0.00000 / 0.00118 = 0.00000 (0) (A_count=2282)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.40564 * 0.10473 / 0.07202 = 0.58986 (93) (A_count=888)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.22361 = 0.00000 (0) (A_count=21)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.00113 / 0.00434 = 0.10536 (1) (A_count=888)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.40564 * 0.10248 / 0.08782 = 0.47336 (91) (A_count=888)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.01014 / 0.00501 = 0.82120 (9) (A_count=888)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.17741 * 0.00522 / 0.00170 = 0.54348 (4) (A_count=766)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.00727 * 0.00000 / 0.02431 = 0.00000 (0) (A_count=21)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected ) = 0.12122 * 0.02027 / 0.00756 = 0.32509 (6) (A_count=296)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.02565 = 0.00000 (0) (A_count=20)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.01746 * 0.13636 / 0.03911 = 0.06090 (6) (A_count=44)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.91677 * 0.03617 / 0.03526 = 0.94039 (97) (A_count=2682)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00676 / 0.00543 = 0.50511 (6) (A_count=888)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.00901 / 0.00455 = 0.80325 (8) (A_count=888)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00090 = 0.00000 (0) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.01192 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected ) = 0.12122 * 0.00338 / 0.00245 = 0.16715 (1) (A_count=296)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.11339 * 0.00000 / 0.00310 = 0.00000 (0) (A_count=302)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.03402 * 0.00000 / 0.01583 = 0.00000 (0) (A_count=73)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected ) = 0.11339 * 0.01987 / 0.00741 = 0.30395 (6) (A_count=302)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00015 = 0.00000 (0) (A_count=1843)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.00938 = 0.00000 (0) (A_count=21)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.01746 * 0.20455 / 0.02609 = 0.13691 (9) (A_count=44)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==  ) = 0.76504 * 0.24452 / 0.24443 = 0.76532 (558) (A_count=2282)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm ) = 0.76504 * 0.00000 / 0.00432 = 0.00000 (0) (A_count=2282)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.41660 * 0.04568 / 0.06700 = 0.28402 (56) (A_count=1226)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00326 / 0.00275 = 1.00000 (6) (A_count=1843)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00163 / 0.00139 = 0.49067 (2) (A_count=1226)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.03542 = 0.00000 (0) (A_count=21)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected ) = 0.11339 * 0.00000 / 0.00069 = 0.00000 (0) (A_count=302)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.17741 * 0.62663 / 0.28394 = 0.39154 (480) (A_count=766)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.00000 / 0.00179 = 0.00000 (0) (A_count=888)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.41660 * 0.00000 / 0.00423 = 0.00000 (0) (A_count=1226)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.17741 * 0.00392 / 0.00420 = 0.16556 (3) (A_count=766)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.41660 * 0.07341 / 0.08561 = 0.35724 (90) (A_count=1226)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.03402 * 0.35616 / 0.22479 = 0.05390 (26) (A_count=73)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected ) = 0.11339 * 0.00000 / 0.00069 = 0.00000 (0) (A_count=302)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(EventW_Machine=EventW_Machine==  | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.91677 * 0.01603 / 0.01596 = 0.92099 (43) (A_count=2682)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.01548 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=40)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected ) = 0.12122 * 0.00000 / 0.00034 = 0.00000 (0) (A_count=296)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00000 / 0.00035 = 0.00000 (0) (A_count=1226)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human==0 ) = 0.15519 * 0.00000 / 0.00413 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=44)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00113 / 0.00105 = 0.43358 (1) (A_count=888)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine<0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.00833 = 0.00000 (0) (A_count=21)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00054 / 0.00076 = 0.60481 (1) (A_count=1843)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00000 / 0.00090 = 0.00000 (0) (A_count=888)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human==0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.03402 * 0.00000 / 0.00929 = 0.00000 (0) (A_count=73)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected ) = 0.11339 * 0.00000 / 0.00103 = 0.00000 (0) (A_count=302)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00000 / 0.00030 = 0.00000 (0) (A_count=888)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.12122 * 0.00000 / 0.00034 = 0.00000 (0) (A_count=296)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==false alarm ) = 0.12122 * 0.00000 / 0.00204 = 0.00000 (0) (A_count=296)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm ) = 0.11339 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected ) = 0.76504 * 0.00088 / 0.00067 = 1.00000 (2) (A_count=2282)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.00864 * 0.10000 / 0.02444 = 0.03538 (2) (A_count=20)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected ) = 0.76504 * 0.00307 / 0.00235 = 1.00000 (7) (A_count=2282)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==obstacle detected ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(EventW_Machine=EventW_Machine==cyclist detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.01548 * 0.05000 / 0.02573 = 0.03007 (2) (A_count=40)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00734 / 0.00517 = 0.59101 (9) (A_count=1226)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human>0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00109 / 0.00196 = 0.46653 (2) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00779 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1037)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.03402 * 0.23288 / 0.04337 = 0.18268 (17) (A_count=73)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected ) = 0.12122 * 0.00338 / 0.00177 = 0.23139 (1) (A_count=296)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ) = 0.76504 * 0.00175 / 0.00134 = 1.00000 (4) (A_count=2282)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected ) = 0.76504 * 0.00044 / 0.00034 = 1.00000 (1) (A_count=2282)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human==0 ) = 0.41660 * 0.34095 / 0.32051 = 0.44316 (418) (A_count=1226)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.84472 * 0.02333 / 0.02645 = 0.74521 (43) (A_count=1843)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.17741 * 0.05614 / 0.06794 = 0.14660 (43) (A_count=766)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm ) = 0.11339 * 0.03642 / 0.00413 = 1.00000 (11) (A_count=302)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human==0 ) = 0.40564 * 0.00000 / 0.00119 = 0.00000 (0) (A_count=888)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==obstacle detected Trust_Human=Trust_Human<0 ) = 0.84472 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1843)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual EventW_Machine=EventW_Machine==pedestrian detected ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00000 / 0.00035 = 0.00000 (0) (A_count=1226)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.01746 * 0.00000 / 0.02425 = 0.00000 (0) (A_count=44)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human<0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00897 / 0.00480 = 0.77937 (11) (A_count=1226)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.01746 * 0.00000 / 0.19782 = 0.00000 (0) (A_count=44)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.84472 * 0.00054 / 0.00046 = 1.00000 (1) (A_count=1843)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.76504 * 0.21034 / 0.17860 = 0.90100 (480) (A_count=2282)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.00275 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ) = 0.12122 * 0.01351 / 0.01252 = 0.13083 (4) (A_count=296)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.02980 = 0.00000 (0) (A_count=1037)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human<0 ) = 0.84472 * 0.04883 / 0.04125 = 1.00000 (90) (A_count=1843)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.00727 * 0.52381 / 0.04166 = 0.09147 (11) (A_count=21)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.00864 * 0.00000 / 0.00035 = 0.00000 (0) (A_count=20)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual EventW_Machine=EventW_Machine==  ) = 0.12122 * 0.15203 / 0.18167 = 0.10144 (45) (A_count=296)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.00727 * 0.00000 / 0.19827 = 0.00000 (0) (A_count=21)
P(EventW_Machine=EventW_Machine==obstacle detected | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.01746 * 0.20455 / 0.22357 = 0.01598 (9) (A_count=44)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 EventW_Machine=EventW_Machine==pedestrian detected Trust_Human=Trust_Human==0 ) = 0.84472 * 0.00000 / 0.00060 = 0.00000 (0) (A_count=1843)
P(EventW_Machine=EventW_Machine==false alarm | Speed_Machine=Speed_Machine>0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.00727 * 0.00000 / 0.01632 = 0.00000 (0) (A_count=21)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.41660 * 0.00163 / 0.00103 = 0.65832 (2) (A_count=1226)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==pedestrian detected ) = 0.76504 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=2282)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.84472 * 0.05046 / 0.04278 = 0.99650 (93) (A_count=1843)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected ) = 0.11339 * 0.00000 / 0.00241 = 0.00000 (0) (A_count=302)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==false alarm ) = 0.12122 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=296)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.00864 * 0.10000 / 0.01612 = 0.05364 (2) (A_count=20)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous EventW_Machine=EventW_Machine==truck detected ) = 0.12122 * 0.00338 / 0.00245 = 0.16715 (1) (A_count=296)
P(EventW_Machine=EventW_Machine==truck detected | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.00864 * 0.20000 / 0.19827 = 0.00872 (4) (A_count=20)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 EventW_Machine=EventW_Machine==  Trust_Human=Trust_Human>0 ) = 0.84472 * 0.03039 / 0.02926 = 0.87718 (56) (A_count=1843)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual EventW_Machine=EventW_Machine==cyclist detected Trust_Human=Trust_Human>0 ) = 0.40564 * 0.00000 / 0.00030 = 0.00000 (0) (A_count=888)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual EventW_Machine=EventW_Machine==truck detected Trust_Human=Trust_Human>0 ) = 0.17741 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=766)
P(EventW_Machine=EventW_Machine==pedestrian detected | Speed_Machine=Speed_Machine==0 Mode_H2M=manual Trust_Human=Trust_Human>0 ) = 0.03402 * 0.00000 / 0.00034 = 0.00000 (0) (A_count=73)
